"input_name","expected_name","expected_ticker"
"Artius II","Artius II Acquisition Inc. - Class A Ordinary Shares","AACB"
"Artius II","Artius II Acquisition Inc. - Rights","AACBR"
"Artius II","Artius II Acquisition Inc. - Units","AACBU"
"ATA Creativity","ATA Creativity Global - American Depositary Shares, each representing two common shares","AACG"
"AdvisorShares Dorsey","AdvisorShares Dorsey Wright ADR ETF","AADR"
"American Airlines","American Airlines Group, Inc. - Common Stock","AAL"
"Atlantic American","Atlantic American Corporation - Common Stock","AAME"
"Applied Optoelectronics","Applied Optoelectronics, Inc. - Common Stock","AAOI"
"AAON Inc.","AAON, Inc. - Common Stock","AAON"
"GraniteShares 2x","GraniteShares 2x Long AAPL Daily ETF","AAPB"
"Direxion Daily","Direxion Daily AAPL Bear 1X Shares","AAPD"
"Ascentage Pharma","Ascentage Pharma Group International - American Depository Shares","AAPG"
"Apple Inc.","Apple Inc. - Common Stock","AAPL"
"Direxion Daily","Direxion Daily AAPL Bull 2X Shares","AAPU"
"Aardvark Therapeutics","Aardvark Therapeutics, Inc. - Common Stock","AARD"
"Alpha Architect","Alpha Architect Global Factor Equity ETF","AAVM"
"iShares MSCI","iShares MSCI All Country Asia ex Japan ETF","AAXJ"
"American Battery","American Battery Technology Company - Common Stock","ABAT"
"AbCellera Biologics","AbCellera Biologics Inc. - Common Shares","ABCL"
"Alpha Blue","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","ABCS"
"Abeona Therapeutics","Abeona Therapeutics Inc. - Common Stock","ABEO"
"Argent Large","Argent Large Cap ETF","ABIG"
"Abacus Global","Abacus Global Management, Inc. - Class A Common Stock","ABL"
"Abacus Global","Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028","ABLLL"
"Abacus Global","Abacus Global Management, Inc. - Warrant","ABLLW"
"Able View","Able View Global Inc. - Class B Ordinary Shares","ABLV"
"Able View","Able View Global Inc. - Warrant","ABLVW"
"Airbnb Inc.","Airbnb, Inc. - Class A Common Stock","ABNB"
"Acumen Pharmaceuticals","Acumen Pharmaceuticals, Inc. - Common Stock","ABOS"
"Abpro Holdings","Abpro Holdings, Inc - Common Stock","ABP"
"Abpro Holdings","Abpro Holdings, Inc - Warrant","ABPWW"
"Absci Corporation","Absci Corporation - Common Stock","ABSI"
"Abits Group","Abits Group Inc - Ordinary Shares","ABTS"
"Arbutus Biopharma","Arbutus Biopharma Corporation - Common Stock","ABUS"
"ABVC BioPharma","ABVC BioPharma, Inc. - Common Stock","ABVC"
"Above Food","Above Food Ingredients Inc. - Common Stock","ABVE"
"Above Food","Above Food Ingredients Inc. - Warrant","ABVEW"
"Abivax SA","Abivax SA - American Depositary Shares","ABVX"
"ACADIA Pharmaceuticals","ACADIA Pharmaceuticals Inc. - Common Stock","ACAD"
"Aurora Cannabis","Aurora Cannabis Inc. - Common Shares","ACB"
"ProFrac Holding","ProFrac Holding Corp. - Class A Common Stock","ACDC"
"Adicet Bio","Adicet Bio, Inc. - Common Stock","ACET"
"Arch Capital","Arch Capital Group Ltd. - Common Stock","ACGL"
"Arch Capital","Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G","ACGLN"
"Arch Capital","Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F","ACGLO"
"Acadia Healthcare","Acadia Healthcare Company, Inc. - Common Stock","ACHC"
"Achieve Life","Achieve Life Sciences, Inc.  - Common Shares","ACHV"
"American Coastal","American Coastal Insurance Corporation - Common Stock","ACIC"
"AC Immune","AC Immune SA - Common Stock","ACIU"
"ACI Worldwide","ACI Worldwide, Inc. - Common Stock","ACIW"
"Axcelis Technologies","Axcelis Technologies, Inc. - Common Stock","ACLS"
"Arcellx Inc.","Arcellx, Inc. - Common Stock","ACLX"
"ACM Research","ACM Research, Inc. - Class A Common Stock","ACMR"
"ACNB Corporation","ACNB Corporation - Common Stock","ACNB"
"Ascent Industries","Ascent Industries Co. - Common Stock","ACNT"
"Alpha Cognition","Alpha Cognition Inc. - Common Stock","ACOG"
"Aclarion Inc.","Aclarion, Inc. - Common Stock","ACON"
"Aclarion Inc.","Aclarion, Inc. - Warrant","ACONW"
"Aclaris Therapeutics","Aclaris Therapeutics, Inc. - Common Stock","ACRS"
"Acrivon Therapeutics","Acrivon Therapeutics, Inc. - Common Stock","ACRV"
"Enact Holdings","Enact Holdings, Inc. - Common Stock","ACT"
"Acacia Research","Acacia Research Corporation - Common Stock","ACTG"
"Actuate Therapeutics","Actuate Therapeutics, Inc. - Common stock","ACTU"
"iShares MSCI","iShares MSCI ACWI ETF","ACWI"
"iShares MSCI","iShares MSCI ACWI ex U.S. ETF","ACWX"
"Acurx Pharmaceuticals","Acurx Pharmaceuticals, Inc. - Common Stock","ACXP"
"Adagene Inc.","Adagene Inc. - ADS, each representing 1.25 ordinary shares","ADAG"
"Adaptimmune Therapeutics","Adaptimmune Therapeutics plc - American Depositary Shares","ADAP"
"Adobe Inc.","Adobe Inc. - Common Stock","ADBE"
"Leverage Shares","Leverage Shares 2X Long ADBE Daily ETF","ADBG"
"Color Star","Color Star Technology Co., Ltd. - Class A Ordinary Shares","ADD"
"Adeia Inc.","Adeia Inc.  - Common Stock","ADEA"
"Adagio Medical","Adagio Medical Holdings, Inc - Common Stock","ADGM"
"Analog Devices","Analog Devices, Inc. - Common Stock","ADI"
"Adial Pharmaceuticals","Adial Pharmaceuticals, Inc - Common Stock","ADIL"
"ADMA Biologics","ADMA Biologics Inc - Common Stock","ADMA"
"Advent Technologies","Advent Technologies Holdings, Inc. - Class A Common Stock","ADN"
"Advent Technologies","Advent Technologies Holdings, Inc. - Warrant","ADNWW"
"Automatic Data","Automatic Data Processing, Inc. - Common Stock","ADP"
"Adaptive Biotechnologies","Adaptive Biotechnologies Corporation - Common Stock","ADPT"
"ADS-TEC ENERGY","ADS-TEC ENERGY PLC - Ordinary Shares","ADSE"
"ADS-TEC ENERGY","ADS-TEC ENERGY PLC - Warrant","ADSEW"
"Autodesk Inc.","Autodesk, Inc. - Common Stock","ADSK"
"ADTRAN Holdings","ADTRAN Holdings, Inc. - Common Stock","ADTN"
"Aditxt Inc.","Aditxt, Inc. - Common Stock","ADTX"
"Aduro Clean","Aduro Clean Technologies Inc. - Common Stock","ADUR"
"Addus HomeCare","Addus HomeCare Corporation - Common Stock","ADUS"
"Advantage Solutions","Advantage Solutions Inc.  - Class A Common Stock","ADV"
"Advanced Biomed","Advanced Biomed Inc. - Common Stock","ADVB"
"Adverum Biotechnologies","Adverum Biotechnologies, Inc. - Common Stock","ADVM"
"Advantage Solutions","Advantage Solutions Inc.  - Warrant","ADVWW"
"Addex Therapeutics","Addex Therapeutics Ltd - American Depositary Shares","ADXN"
"Antelope Enterprise","Antelope Enterprise Holdings Limited - Class A Ordinary Shares","AEHL"
"Aehr Test","Aehr Test Systems - Common Stock","AEHR"
"Alset Inc.","Alset Inc. - Common Stock","AEI"
"Advanced Energy","Advanced Energy Industries, Inc. - Common Stock","AEIS"
"Aethlon Medical","Aethlon Medical, Inc. - Common Stock","AEMD"
"Alliance Entertainment","Alliance Entertainment Holding Corporation - common stock","AENT"
"Alliance Entertainment","Alliance Entertainment Holding Corporation - Warrants","AENTW"
"American Electric","American Electric Power Company, Inc. - Common Stock","AEP"
"Aeries Technology","Aeries Technology, Inc. - Class A Ordinary Share","AERT"
"Aeries Technology","Aeries Technology, Inc. - Warrant","AERTW"
"Aeva Technologies","Aeva Technologies, Inc. - Common Stock","AEVA"
"Aeva Technologies","Aeva Technologies, Inc. - Redeemable Warrants","AEVAW"
"AudioEye Inc.","AudioEye, Inc. - Common Stock","AEYE"
"Affinity Bancshares","Affinity Bancshares, Inc. - Common Stock","AFBI"
"Advanced Flower","Advanced Flower Capital Inc. - Common Stock","AFCG"
"Aimei Health","Aimei Health Technology Co., Ltd - Ordinary Share","AFJK"
"Aimei Health","Aimei Health Technology Co., Ltd - Right","AFJKR"
"Aimei Health","Aimei Health Technology Co., Ltd - Unit","AFJKU"
"Affimed N.V.","Affimed N.V. - Common Stock","AFMD"
